SUBJECT-FILE,category1,filename1,item1,Tar_typ1,Dis_Typ1,Sim-Dif1,Dis_num1,Tarpic1,dispic1,leftpic1,rightpic1,compare-image1,category2,filename2,item2,Tar_typ2,Dis_Typ2,Sim-Dif2,Dis_num2,Tarpic2,dispic2,leftpic2,rightpic2,compare-image2,category3,filename3,item3,Tar_typ3,Dis_Typ3,Sim-Dif3,Dis_num3,Tarpic3,dispic3,leftpic3,rightpic3,compare-image3,category4,filename4,item4,Tar_typ4,Dis_Typ4,Sim-Dif4,Dis_num4,Tarpic4,dispic4,leftpic4,rightpic4,compare-image4
4,HEADPHONES ,HEADPHONES,26,Typical,atyp,sim,4,Typical_HEADPHONES.tga,HEADPHONES_atyp_sim4.tga,HEADPHONES_atyp_sim4.tga,Typical_HEADPHONES.tga,Typical_HEADPHONES_atyp_sim4.bmp,SWORD ,SWORD,36,Typical,atyp,sim,4,Typical_SWORD.tga,SWORD_atyp_sim4.tga,SWORD_atyp_sim4.tga,Typical_SWORD.tga,Typical_SWORD_atyp_sim4.bmp,STAPLER ,STAPLER,35,Typical,atyp,dis,1,Typical_STAPLER.tga,STAPLER_atyp_dis1.tga,Typical_STAPLER.tga,STAPLER_atyp_dis1.tga,Typical_STAPLER_atyp_dis1.bmp,LAMP ,LAMP,29,Typical,typ,dis,3,Typical_LAMP.tga,LAMP_typ_dis3.tga,Typical_LAMP.tga,LAMP_typ_dis3.tga,Typical_LAMP_typ_dis3.bmp
4,APPLE ,APPLE,1,Atypical,typ,sim,3,Atypical_APPLE.tga,APPLE_typ_sim3.tga,APPLE_typ_sim3.tga,Atypical_APPLE.tga,Atypical_APPLE_typ_sim3.bmp,BOTTLE ,BOTTLE,7,Atypical,atyp,sim,1,Atypical_BOTTLE.tga,BOTTLE_atyp_sim1.tga,BOTTLE_atyp_sim1.tga,Atypical_BOTTLE.tga,Atypical_BOTTLE_atyp_sim1.bmp,SAW ,SAW,33,Atypical,atyp,dis,4,Atypical_SAW.tga,SAW_atyp_dis4.tga,SAW_atyp_dis4.tga,Atypical_SAW.tga,Atypical_SAW_atyp_dis4.bmp,HAMMER ,HAMMER,24,Typical,atyp,dis,3,Typical_HAMMER.tga,HAMMER_atyp_dis3.tga,HAMMER_atyp_dis3.tga,Typical_HAMMER.tga,Typical_HAMMER_atyp_dis3.bmp
4,BAG ,BAG,3,Atypical,atyp,dis,4,Atypical_BAG.tga,BAG_atyp_dis4.tga,BAG_atyp_dis4.tga,Atypical_BAG.tga,Atypical_BAG_atyp_dis4.bmp,PIPE ,PIPE,31,Typical,typ,sim,4,Typical_PIPE.tga,PIPE_typ_sim4.tga,Typical_PIPE.tga,PIPE_typ_sim4.tga,Typical_PIPE_typ_sim4.bmp,BENCH,BENCH,5,Atypical,atyp,sim,5,Atypical_BENCH.tga,BENCH_atyp_sim5.tga,BENCH_atyp_sim5.tga,Atypical_BENCH.tga,Atypical_BENCH_atyp_sim5.bmp,FLOWER ,FLOWER,21,Typical,typ,sim,4,Typical_FLOWER.tga,FLOWER_typ_sim4.tga,Typical_FLOWER.tga,FLOWER_typ_sim4.tga,Typical_FLOWER_typ_sim4.bmp
4,BICYCLE ,BICYCLE,6,Atypical,atyp,sim,3,Atypical_BICYCLE.tga,BICYCLE_atyp_sim3.tga,Atypical_BICYCLE.tga,BICYCLE_atyp_sim3.tga,Atypical_BICYCLE_atyp_sim3.bmp,DOG,DOG,16,Atypical,atyp,sim,3,Atypical_DOG.tga,DOG_atyp_sim3.tga,Atypical_DOG.tga,DOG_atyp_sim3.tga,Atypical_DOG_atyp_sim3.bmp,TELEPHONE ,TELEPHONE,39,Typical,typ,dis,3,Typical_TELEPHONE.tga,TELEPHONE_typ_dis3.tga,Typical_TELEPHONE.tga,TELEPHONE_typ_dis3.tga,Typical_TELEPHONE_typ_dis3.bmp,CLOCK,CLOCK,14,Atypical,atyp,dis,2,Atypical_CLOCK.tga,CLOCK_atyp_dis2.tga,Atypical_CLOCK.tga,CLOCK_atyp_dis2.tga,Atypical_CLOCK_atyp_dis2.bmp
4,DRILL ,DRILL,18,Atypical,typ,dis,4,Atypical_DRILL.tga,DRILL_typ_dis4.tga,Atypical_DRILL.tga,DRILL_typ_dis4.tga,Atypical_DRILL_typ_dis4.bmp,AXE ,AXE,2,Atypical,typ,sim,1,Atypical_AXE.tga,AXE_typ_sim1.tga,Atypical_AXE.tga,AXE_typ_sim1.tga,Atypical_AXE_typ_sim1.bmp,SCISSORS ,SCISSORS,34,Atypical,atyp,dis,2,Atypical_SCISSORS.tga,SCISSORS_atyp_dis2.tga,Atypical_SCISSORS.tga,SCISSORS_atyp_dis2.tga,Atypical_SCISSORS_atyp_dis2.bmp,TABLE,TABLE,37,Atypical,atyp,sim,1,Atypical_TABLE.tga,TABLE_atyp_sim1.tga,TABLE_atyp_sim1.tga,Atypical_TABLE.tga,Atypical_TABLE_atyp_sim1.bmp
4,BOTTLE ,BOTTLE,7,Typical,atyp,sim,2,Typical_BOTTLE.tga,BOTTLE_atyp_sim2.tga,Typical_BOTTLE.tga,BOTTLE_atyp_sim2.tga,Typical_BOTTLE_atyp_sim2.bmp,GLASSES ,GLASSES,22,Atypical,typ,sim,1,Atypical_GLASSES.tga,GLASSES_typ_sim1.tga,Atypical_GLASSES.tga,GLASSES_typ_sim1.tga,Atypical_GLASSES_typ_sim1.bmp,BRIEFCASE,BRIEFCASE,8,Atypical,typ,dis,4,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_dis4.tga,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_dis4.tga,Atypical_BRIEFCASE_typ_dis4.bmp,CUP ,CUP,15,Typical,atyp,dis,1,Typical_CUP.tga,CUP_atyp_dis1.tga,Typical_CUP.tga,CUP_atyp_dis1.tga,Typical_CUP_atyp_dis1.bmp
4,HELMET ,HELMET,27,Atypical,atyp,sim,1,Atypical_HELMET.tga,HELMET_atyp_sim1.tga,HELMET_atyp_sim1.tga,Atypical_HELMET.tga,Atypical_HELMET_atyp_sim1.bmp,CAKE ,CAKE,10,Typical,typ,dis,1,Typical_CAKE.tga,CAKE_typ_dis1.tga,CAKE_typ_dis1.tga,Typical_CAKE.tga,Typical_CAKE_typ_dis1.bmp,HAT ,HAT,25,Typical,atyp,dis,1,Typical_HAT.tga,HAT_atyp_dis1.tga,Typical_HAT.tga,HAT_atyp_dis1.tga,Typical_HAT_atyp_dis1.bmp,CAKE,CAKE,10,Atypical,typ,sim,5,Atypical_CAKE.tga,CAKE_typ_sim5.tga,Atypical_CAKE.tga,CAKE_typ_sim5.tga,Atypical_CAKE_typ_sim5.bmp
4,DRUM ,DRUM,19,Typical,typ,dis,3,Typical_DRUM.tga,DRUM_typ_dis3.tga,Typical_DRUM.tga,DRUM_typ_dis3.tga,Typical_DRUM_typ_dis3.bmp,IRON ,IRON,28,Atypical,typ,dis,4,Atypical_IRON.tga,IRON_typ_dis4.tga,Atypical_IRON.tga,IRON_typ_dis4.tga,Atypical_IRON_typ_dis4.bmp,BASKET ,BASKET,4,Atypical,atyp,dis,2,Atypical_BASKET.tga,BASKET_atyp_dis2.tga,Atypical_BASKET.tga,BASKET_atyp_dis2.tga,Atypical_BASKET_atyp_dis2.bmp,BAG ,BAG,3,Typical,atyp,dis,5,Typical_BAG.tga,BAG_atyp_dis5.tga,Typical_BAG.tga,BAG_atyp_dis5.tga,Typical_BAG_atyp_dis5.bmp
4,PISTOL ,PISTOL,32,Atypical,typ,sim,1,Atypical_PISTOL.tga,PISTOL_typ_sim1.tga,Atypical_PISTOL.tga,PISTOL_typ_sim1.tga,Atypical_PISTOL_typ_sim1.bmp,CACTUS ,CACTUS,9,Atypical,typ,dis,2,Atypical_CACTUS.tga,CACTUS_typ_dis2.tga,CACTUS_typ_dis2.tga,Atypical_CACTUS.tga,Atypical_CACTUS_typ_dis2.bmp,CHAIR ,CHAIR,13,Typical,atyp,dis,5,Typical_CHAIR.tga,CHAIR_atyp_dis5.tga,Typical_CHAIR.tga,CHAIR_atyp_dis5.tga,Typical_CHAIR_atyp_dis5.bmp,CANDLE ,CANDLE,12,Typical,typ,sim,2,Typical_CANDLE.tga,CANDLE_typ_sim2.tga,CANDLE_typ_sim2.tga,Typical_CANDLE.tga,Typical_CANDLE_typ_sim2.bmp
4,PIPE ,PIPE,31,Atypical,typ,sim,3,Atypical_PIPE.tga,PIPE_typ_sim3.tga,PIPE_typ_sim3.tga,Atypical_PIPE.tga,Atypical_PIPE_typ_sim3.bmp,GRENADE ,GRENADE,23,Atypical,atyp,dis,4,Atypical_GRENADE.tga,GRENADE_atyp_dis4.tga,GRENADE_atyp_dis4.tga,Atypical_GRENADE.tga,Atypical_GRENADE_atyp_dis4.bmp,BENCH ,BENCH,5,Typical,atyp,dis,1,Typical_BENCH.tga,BENCH_atyp_dis1.tga,Typical_BENCH.tga,BENCH_atyp_dis1.tga,Typical_BENCH_atyp_dis1.bmp,BICYCLE ,BICYCLE,6,Typical,atyp,sim,4,Typical_BICYCLE.tga,BICYCLE_atyp_sim4.tga,BICYCLE_atyp_sim4.tga,Typical_BICYCLE.tga,Typical_BICYCLE_atyp_sim4.bmp
