SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
20,DOG,DOG,16,Atypical,typ,dis,4,Atypical_DOG.tga,DOG_typ_dis4.tga,Atypical_DOG.tga,DOG_typ_dis4.tga,Atypical_DOG_typ_dis4.bmp
20,BAG ,BAG,3,Typical,atyp,dis,1,Typical_BAG.tga,BAG_atyp_dis1.tga,Typical_BAG.tga,BAG_atyp_dis1.tga,Typical_BAG_atyp_dis1.bmp
20,GRENADE ,GRENADE,23,Typical,atyp,dis,1,Typical_GRENADE.tga,GRENADE_atyp_dis1.tga,Typical_GRENADE.tga,GRENADE_atyp_dis1.tga,Typical_GRENADE_atyp_dis1.bmp
20,LEAF ,LEAF,30,Typical,typ,sim,2,Typical_LEAF.tga,LEAF_typ_sim2.tga,LEAF_typ_sim2.tga,Typical_LEAF.tga,Typical_LEAF_typ_sim2.bmp
20,CANDLE ,CANDLE,12,Atypical,atyp,dis,2,Atypical_CANDLE.tga,CANDLE_atyp_dis2.tga,Atypical_CANDLE.tga,CANDLE_atyp_dis2.tga,Atypical_CANDLE_atyp_dis2.bmp
20,BAG ,BAG,3,Atypical,atyp,sim,5,Atypical_BAG.tga,BAG_atyp_sim5.tga,BAG_atyp_sim5.tga,Atypical_BAG.tga,Atypical_BAG_atyp_sim5.bmp
20,PISTOL ,PISTOL,32,Typical,atyp,dis,3,Typical_PISTOL.tga,PISTOL_atyp_dis3.tga,PISTOL_atyp_dis3.tga,Typical_PISTOL.tga,Typical_PISTOL_atyp_dis3.bmp
20,DRUM ,DRUM,19,Atypical,typ,sim,3,Atypical_DRUM.tga,DRUM_typ_sim3.tga,DRUM_typ_sim3.tga,Atypical_DRUM.tga,Atypical_DRUM_typ_sim3.bmp
20,FLOWER ,FLOWER,21,Typical,atyp,dis,5,Typical_FLOWER.tga,FLOWER_atyp_dis5.tga,Typical_FLOWER.tga,FLOWER_atyp_dis5.tga,Typical_FLOWER_atyp_dis5.bmp
20,HAT ,HAT,25,Typical,atyp,sim,2,Typical_HAT.tga,HAT_atyp_sim2.tga,Typical_HAT.tga,HAT_atyp_sim2.tga,Typical_HAT_atyp_sim2.bmp
20,LAMP ,LAMP,29,Typical,typ,sim,4,Typical_LAMP.tga,LAMP_typ_sim4.tga,Typical_LAMP.tga,LAMP_typ_sim4.tga,Typical_LAMP_typ_sim4.bmp
20,AXE ,AXE,2,Typical,atyp,dis,3,Typical_AXE.tga,AXE_atyp_dis3.tga,AXE_atyp_dis3.tga,Typical_AXE.tga,Typical_AXE_atyp_dis3.bmp
20,SWORD ,SWORD,36,Typical,typ,dis,5,Typical_SWORD.tga,SWORD_typ_dis5.tga,SWORD_typ_dis5.tga,Typical_SWORD.tga,Typical_SWORD_typ_dis5.bmp
20,STAPLER ,STAPLER,35,Typical,atyp,sim,2,Typical_STAPLER.tga,STAPLER_atyp_sim2.tga,Typical_STAPLER.tga,STAPLER_atyp_sim2.tga,Typical_STAPLER_atyp_sim2.bmp
20,APPLE ,APPLE,1,Typical,atyp,dis,5,Typical_APPLE.tga,APPLE_atyp_dis5.tga,Typical_APPLE.tga,APPLE_atyp_dis5.tga,Typical_APPLE_atyp_dis5.bmp
20,CANDLE ,CANDLE,12,Typical,atyp,dis,3,Typical_CANDLE.tga,CANDLE_atyp_dis3.tga,CANDLE_atyp_dis3.tga,Typical_CANDLE.tga,Typical_CANDLE_atyp_dis3.bmp
20,STAPLER ,STAPLER,35,Atypical,atyp,sim,1,Atypical_STAPLER.tga,STAPLER_atyp_sim1.tga,STAPLER_atyp_sim1.tga,Atypical_STAPLER.tga,Atypical_STAPLER_atyp_sim1.bmp
20,TABLE,TABLE,37,Atypical,typ,dis,2,Atypical_TABLE.tga,TABLE_typ_dis2.tga,TABLE_typ_dis2.tga,Atypical_TABLE.tga,Atypical_TABLE_typ_dis2.bmp
20,DRILL ,DRILL,18,Typical,typ,dis,1,Typical_DRILL.tga,DRILL_typ_dis1.tga,DRILL_typ_dis1.tga,Typical_DRILL.tga,Typical_DRILL_typ_dis1.bmp
20,BASKET ,BASKET,4,Typical,atyp,sim,4,Typical_BASKET.tga,BASKET_atyp_sim4.tga,BASKET_atyp_sim4.tga,Typical_BASKET.tga,Typical_BASKET_atyp_sim4.bmp
20,DOG ,DOG,16,Typical,typ,dis,5,Typical_DOG.tga,DOG_typ_dis5.tga,DOG_typ_dis5.tga,Typical_DOG.tga,Typical_DOG_typ_dis5.bmp
20,TELEPHONE ,TELEPHONE,39,Atypical,typ,sim,3,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim3.tga,TELEPHONE_typ_sim3.tga,Atypical_TELEPHONE.tga,Atypical_TELEPHONE_typ_sim3.bmp
20,BRIEFCASE ,BRIEFCASE,8,Typical,typ,dis,1,Typical_BRIEFCASE.tga,BRIEFCASE_typ_dis1.tga,BRIEFCASE_typ_dis1.tga,Typical_BRIEFCASE.tga,Typical_BRIEFCASE_typ_dis1.bmp
20,HELMET ,HELMET,27,Atypical,typ,dis,2,Atypical_HELMET.tga,HELMET_typ_dis2.tga,HELMET_typ_dis2.tga,Atypical_HELMET.tga,Atypical_HELMET_typ_dis2.bmp
20,SCISSORS ,SCISSORS,34,Atypical,atyp,sim,3,Atypical_SCISSORS.tga,SCISSORS_atyp_sim3.tga,Atypical_SCISSORS.tga,SCISSORS_atyp_sim3.tga,Atypical_SCISSORS_atyp_sim3.bmp
20,BENCH,BENCH,5,Atypical,atyp,sim,1,Atypical_BENCH.tga,BENCH_atyp_sim1.tga,BENCH_atyp_sim1.tga,Atypical_BENCH.tga,Atypical_BENCH_atyp_sim1.bmp
