SUBJECT-FILE,category1,filename1,item1,Tar_typ1,Dis_Typ1,Sim-Dif1,Dis_num1,Tarpic1,dispic1,leftpic1,rightpic1,compare-image1,category2,filename2,item2,Tar_typ2,Dis_Typ2,Sim-Dif2,Dis_num2,Tarpic2,dispic2,leftpic2,rightpic2,compare-image2,category3,filename3,item3,Tar_typ3,Dis_Typ3,Sim-Dif3,Dis_num3,Tarpic3,dispic3,leftpic3,rightpic3,compare-image3,category4,filename4,item4,Tar_typ4,Dis_Typ4,Sim-Dif4,Dis_num4,Tarpic4,dispic4,leftpic4,rightpic4,compare-image4
12,TAPE DISPENSER ,TAPE,38,Typical,atyp,dis,3,Typical_TAPE.tga,TAPE_atyp_dis3.tga,TAPE_atyp_dis3.tga,Typical_TAPE.tga,Typical_TAPE_atyp_dis3.bmp,CACTUS ,CACTUS,9,Typical,atyp,dis,1,Typical_CACTUS.tga,CACTUS_atyp_dis1.tga,Typical_CACTUS.tga,CACTUS_atyp_dis1.tga,Typical_CACTUS_atyp_dis1.bmp,WRENCH ,WRENCH,40,Typical,atyp,sim,4,Typical_WRENCH.tga,WRENCH_atyp_sim4.tga,WRENCH_atyp_sim4.tga,Typical_WRENCH.tga,Typical_WRENCH_atyp_sim4.bmp,BENCH ,BENCH,5,Typical,typ,sim,4,Typical_BENCH.tga,BENCH_typ_sim4.tga,Typical_BENCH.tga,BENCH_typ_sim4.tga,Typical_BENCH_typ_sim4.bmp
12,CAKE ,CAKE,10,Typical,atyp,sim,4,Typical_CAKE.tga,CAKE_atyp_sim4.tga,CAKE_atyp_sim4.tga,Typical_CAKE.tga,Typical_CAKE_atyp_sim4.bmp,BAG ,BAG,3,Typical,typ,dis,3,Typical_BAG.tga,BAG_typ_dis3.tga,Typical_BAG.tga,BAG_typ_dis3.tga,Typical_BAG_typ_dis3.bmp,SWORD ,SWORD,36,Atypical,typ,sim,1,Atypical_SWORD.tga,SWORD_typ_sim1.tga,Atypical_SWORD.tga,SWORD_typ_sim1.tga,Atypical_SWORD_typ_sim1.bmp,BOTTLE ,BOTTLE,7,Atypical,atyp,dis,4,Atypical_BOTTLE.tga,BOTTLE_atyp_dis4.tga,BOTTLE_atyp_dis4.tga,Atypical_BOTTLE.tga,Atypical_BOTTLE_atyp_dis4.bmp
12,APPLE ,APPLE,1,Atypical,atyp,sim,1,Atypical_APPLE.tga,APPLE_atyp_sim1.tga,APPLE_atyp_sim1.tga,Atypical_APPLE.tga,Atypical_APPLE_atyp_sim1.bmp,LEAF ,LEAF,30,Atypical,atyp,sim,3,Atypical_LEAF.tga,LEAF_atyp_sim3.tga,Atypical_LEAF.tga,LEAF_atyp_sim3.tga,Atypical_LEAF_atyp_sim3.bmp,DRILL ,DRILL,18,Typical,atyp,dis,3,Typical_DRILL.tga,DRILL_atyp_dis3.tga,DRILL_atyp_dis3.tga,Typical_DRILL.tga,Typical_DRILL_atyp_dis3.bmp,FAN ,FAN,20,Typical,atyp,sim,4,Typical_FAN.tga,FAN_atyp_sim4.tga,FAN_atyp_sim4.tga,Typical_FAN.tga,Typical_FAN_atyp_sim4.bmp
12,GRENADE ,GRENADE,23,Atypical,typ,dis,2,Atypical_GRENADE.tga,GRENADE_typ_dis2.tga,GRENADE_typ_dis2.tga,Atypical_GRENADE.tga,Atypical_GRENADE_typ_dis2.bmp,SAW ,SAW,33,Atypical,typ,dis,2,Atypical_SAW.tga,SAW_typ_dis2.tga,SAW_typ_dis2.tga,Atypical_SAW.tga,Atypical_SAW_typ_dis2.bmp,BAG ,BAG,3,Atypical,typ,dis,2,Atypical_BAG.tga,BAG_typ_dis2.tga,BAG_typ_dis2.tga,Atypical_BAG.tga,Atypical_BAG_typ_dis2.bmp,HAT ,HAT,25,Typical,typ,sim,4,Typical_HAT.tga,HAT_typ_sim4.tga,Typical_HAT.tga,HAT_typ_sim4.tga,Typical_HAT_typ_sim4.bmp
12,DOG,DOG,16,Atypical,typ,sim,1,Atypical_DOG.tga,DOG_typ_sim1.tga,Atypical_DOG.tga,DOG_typ_sim1.tga,Atypical_DOG_typ_sim1.bmp,LEAF ,LEAF,30,Typical,atyp,sim,4,Typical_LEAF.tga,LEAF_atyp_sim4.tga,LEAF_atyp_sim4.tga,Typical_LEAF.tga,Typical_LEAF_atyp_sim4.bmp,GLASSES ,GLASSES,22,Atypical,typ,dis,4,Atypical_GLASSES.tga,GLASSES_typ_dis4.tga,Atypical_GLASSES.tga,GLASSES_typ_dis4.tga,Atypical_GLASSES_typ_dis4.bmp,DOORKNOB ,DOORKNOB,17,Typical,atyp,dis,5,Typical_DOORKNOB.tga,DOORKNOB_atyp_dis5.tga,Typical_DOORKNOB.tga,DOORKNOB_atyp_dis5.tga,Typical_DOORKNOB_atyp_dis5.bmp
12,DRUM ,DRUM,19,Atypical,atyp,sim,5,Atypical_DRUM.tga,DRUM_atyp_sim5.tga,DRUM_atyp_sim5.tga,Atypical_DRUM.tga,Atypical_DRUM_atyp_sim5.bmp,WRENCH ,WRENCH,40,Atypical,atyp,sim,3,Atypical_WRENCH.tga,WRENCH_atyp_sim3.tga,Atypical_WRENCH.tga,WRENCH_atyp_sim3.tga,Atypical_WRENCH_atyp_sim3.bmp,IRON ,IRON,28,Atypical,atyp,dis,2,Atypical_IRON.tga,IRON_atyp_dis2.tga,Atypical_IRON.tga,IRON_atyp_dis2.tga,Atypical_IRON_atyp_dis2.bmp,BRIEFCASE ,BRIEFCASE,8,Typical,atyp,dis,3,Typical_BRIEFCASE.tga,BRIEFCASE_atyp_dis3.tga,BRIEFCASE_atyp_dis3.tga,Typical_BRIEFCASE.tga,Typical_BRIEFCASE_atyp_dis3.bmp
12,CANDLE ,CANDLE,12,Typical,typ,dis,5,Typical_CANDLE.tga,CANDLE_typ_dis5.tga,CANDLE_typ_dis5.tga,Typical_CANDLE.tga,Typical_CANDLE_typ_dis5.bmp,FAN ,FAN,20,Atypical,atyp,sim,3,Atypical_FAN.tga,FAN_atyp_sim3.tga,Atypical_FAN.tga,FAN_atyp_sim3.tga,Atypical_FAN_atyp_sim3.bmp,BOTTLE ,BOTTLE,7,Typical,atyp,dis,5,Typical_BOTTLE.tga,BOTTLE_atyp_dis5.tga,Typical_BOTTLE.tga,BOTTLE_atyp_dis5.tga,Typical_BOTTLE_atyp_dis5.bmp,IRON ,IRON,28,Typical,atyp,dis,3,Typical_IRON.tga,IRON_atyp_dis3.tga,IRON_atyp_dis3.tga,Typical_IRON.tga,Typical_IRON_atyp_dis3.bmp
12,PIPE ,PIPE,31,Typical,atyp,sim,2,Typical_PIPE.tga,PIPE_atyp_sim2.tga,Typical_PIPE.tga,PIPE_atyp_sim2.tga,Typical_PIPE_atyp_sim2.bmp,HAT ,HAT,25,Atypical,typ,sim,3,Atypical_HAT.tga,HAT_typ_sim3.tga,HAT_typ_sim3.tga,Atypical_HAT.tga,Atypical_HAT_typ_sim3.bmp,GRENADE ,GRENADE,23,Typical,typ,dis,3,Typical_GRENADE.tga,GRENADE_typ_dis3.tga,Typical_GRENADE.tga,GRENADE_typ_dis3.tga,Typical_GRENADE_typ_dis3.bmp,APPLE ,APPLE,1,Typical,atyp,sim,2,Typical_APPLE.tga,APPLE_atyp_sim2.tga,Typical_APPLE.tga,APPLE_atyp_sim2.tga,Typical_APPLE_atyp_sim2.bmp
12,LAMP ,LAMP,29,Atypical,atyp,sim,5,Atypical_LAMP.tga,LAMP_atyp_sim5.tga,LAMP_atyp_sim5.tga,Atypical_LAMP.tga,Atypical_LAMP_atyp_sim5.bmp,CUP ,CUP,15,Atypical,typ,sim,3,Atypical_CUP.tga,CUP_typ_sim3.tga,CUP_typ_sim3.tga,Atypical_CUP.tga,Atypical_CUP_typ_sim3.bmp,CACTUS ,CACTUS,9,Atypical,atyp,sim,5,Atypical_CACTUS.tga,CACTUS_atyp_sim5.tga,CACTUS_atyp_sim5.tga,Atypical_CACTUS.tga,Atypical_CACTUS_atyp_sim5.bmp,CAKE,CAKE,10,Atypical,atyp,sim,3,Atypical_CAKE.tga,CAKE_atyp_sim3.tga,Atypical_CAKE.tga,CAKE_atyp_sim3.tga,Atypical_CAKE_atyp_sim3.bmp
12,STAPLER ,STAPLER,35,Typical,typ,sim,4,Typical_STAPLER.tga,STAPLER_typ_sim4.tga,Typical_STAPLER.tga,STAPLER_typ_sim4.tga,Typical_STAPLER_typ_sim4.bmp,CUP ,CUP,15,Typical,typ,sim,4,Typical_CUP.tga,CUP_typ_sim4.tga,Typical_CUP.tga,CUP_typ_sim4.tga,Typical_CUP_typ_sim4.bmp,SCISSORS ,SCISSORS,34,Atypical,typ,sim,5,Atypical_SCISSORS.tga,SCISSORS_typ_sim5.tga,Atypical_SCISSORS.tga,SCISSORS_typ_sim5.tga,Atypical_SCISSORS_typ_sim5.bmp,CAMERA ,CAMERA,11,Typical,atyp,sim,2,Typical_CAMERA.tga,CAMERA_atyp_sim2.tga,Typical_CAMERA.tga,CAMERA_atyp_sim2.tga,Typical_CAMERA_atyp_sim2.bmp
