SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
1,GLASSES ,GLASSES,22,Typical,atyp,dis,4,Typical_GLASSES.tga,GLASSES_atyp_dis4.tga,GLASSES_atyp_dis4.tga,Typical_GLASSES.tga,Typical_GLASSES_atyp_dis4.bmp
1,PISTOL ,PISTOL,32,Atypical,atyp,dis,3,Atypical_PISTOL.tga,PISTOL_atyp_dis3.tga,PISTOL_atyp_dis3.tga,Atypical_PISTOL.tga,Atypical_PISTOL_atyp_dis3.bmp
1,TELEPHONE ,TELEPHONE,39,Atypical,typ,sim,4,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim4.tga,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim4.tga,Atypical_TELEPHONE_typ_sim4.bmp
1,PISTOL ,PISTOL,32,Typical,atyp,dis,4,Typical_PISTOL.tga,PISTOL_atyp_dis4.tga,PISTOL_atyp_dis4.tga,Typical_PISTOL.tga,Typical_PISTOL_atyp_dis4.bmp
1,HAT ,HAT,25,Typical,atyp,sim,3,Typical_HAT.tga,HAT_atyp_sim3.tga,Typical_HAT.tga,HAT_atyp_sim3.tga,Typical_HAT_atyp_sim3.bmp
1,FLOWER ,FLOWER,21,Atypical,atyp,dis,5,Atypical_FLOWER.tga,FLOWER_atyp_dis5.tga,Atypical_FLOWER.tga,FLOWER_atyp_dis5.tga,Atypical_FLOWER_atyp_dis5.bmp
1,CHAIR ,CHAIR,13,Typical,atyp,dis,2,Typical_CHAIR.tga,CHAIR_atyp_dis2.tga,Typical_CHAIR.tga,CHAIR_atyp_dis2.tga,Typical_CHAIR_atyp_dis2.bmp
1,CUP ,CUP,15,Atypical,atyp,sim,2,Atypical_CUP.tga,CUP_atyp_sim2.tga,Atypical_CUP.tga,CUP_atyp_sim2.tga,Atypical_CUP_atyp_sim2.bmp
1,DOORKNOB ,DOORKNOB,17,Typical,typ,dis,4,Typical_DOORKNOB.tga,DOORKNOB_typ_dis4.tga,Typical_DOORKNOB.tga,DOORKNOB_typ_dis4.tga,Typical_DOORKNOB_typ_dis4.bmp
1,BAG ,BAG,3,Typical,atyp,dis,2,Typical_BAG.tga,BAG_atyp_dis2.tga,Typical_BAG.tga,BAG_atyp_dis2.tga,Typical_BAG_atyp_dis2.bmp
1,SWORD ,SWORD,36,Atypical,typ,dis,5,Atypical_SWORD.tga,SWORD_typ_dis5.tga,SWORD_typ_dis5.tga,Atypical_SWORD.tga,Atypical_SWORD_typ_dis5.bmp
1,CANDLE ,CANDLE,12,Atypical,atyp,dis,3,Atypical_CANDLE.tga,CANDLE_atyp_dis3.tga,CANDLE_atyp_dis3.tga,Atypical_CANDLE.tga,Atypical_CANDLE_atyp_dis3.bmp
1,SAW ,SAW,33,Atypical,atyp,dis,1,Atypical_SAW.tga,SAW_atyp_dis1.tga,Atypical_SAW.tga,SAW_atyp_dis1.tga,Atypical_SAW_atyp_dis1.bmp
1,BASKET ,BASKET,4,Atypical,atyp,sim,4,Atypical_BASKET.tga,BASKET_atyp_sim4.tga,BASKET_atyp_sim4.tga,Atypical_BASKET.tga,Atypical_BASKET_atyp_sim4.bmp
1,STAPLER ,STAPLER,35,Atypical,atyp,sim,2,Atypical_STAPLER.tga,STAPLER_atyp_sim2.tga,Atypical_STAPLER.tga,STAPLER_atyp_sim2.tga,Atypical_STAPLER_atyp_sim2.bmp
1,GRENADE ,GRENADE,23,Typical,atyp,dis,2,Typical_GRENADE.tga,GRENADE_atyp_dis2.tga,Typical_GRENADE.tga,GRENADE_atyp_dis2.tga,Typical_GRENADE_atyp_dis2.bmp
1,HEADPHONES ,HEADPHONES,26,Atypical,typ,dis,5,Atypical_HEADPHONES.tga,HEADPHONES_typ_dis5.tga,HEADPHONES_typ_dis5.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_typ_dis5.bmp
1,SWORD ,SWORD,36,Typical,atyp,sim,1,Typical_SWORD.tga,SWORD_atyp_sim1.tga,SWORD_atyp_sim1.tga,Typical_SWORD.tga,Typical_SWORD_atyp_sim1.bmp
1,FLOWER ,FLOWER,21,Typical,typ,sim,1,Typical_FLOWER.tga,FLOWER_typ_sim1.tga,Typical_FLOWER.tga,FLOWER_typ_sim1.tga,Typical_FLOWER_typ_sim1.bmp
1,WRENCH ,WRENCH,40,Typical,typ,sim,3,Typical_WRENCH.tga,WRENCH_typ_sim3.tga,WRENCH_typ_sim3.tga,Typical_WRENCH.tga,Typical_WRENCH_typ_sim3.bmp
1,DRUM ,DRUM,19,Atypical,typ,sim,4,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM_typ_sim4.bmp
1,BAG ,BAG,3,Atypical,atyp,dis,1,Atypical_BAG.tga,BAG_atyp_dis1.tga,Atypical_BAG.tga,BAG_atyp_dis1.tga,Atypical_BAG_atyp_dis1.bmp
1,TAPE DISPENSER ,TAPE,38,Atypical,typ,dis,1,Atypical_TAPE.tga,TAPE_typ_dis1.tga,TAPE_typ_dis1.tga,Atypical_TAPE.tga,Atypical_TAPE_typ_dis1.bmp
1,DOORKNOB ,DOORKNOB,17,Atypical,typ,dis,3,Atypical_DOORKNOB.tga,DOORKNOB_typ_dis3.tga,Atypical_DOORKNOB.tga,DOORKNOB_typ_dis3.tga,Atypical_DOORKNOB_typ_dis3.bmp
1,SAW ,SAW,33,Typical,atyp,dis,2,Typical_SAW.tga,SAW_atyp_dis2.tga,Typical_SAW.tga,SAW_atyp_dis2.tga,Typical_SAW_atyp_dis2.bmp
1,CLOCK ,CLOCK,14,Atypical,atyp,sim,4,Atypical_CLOCK.tga,CLOCK_atyp_sim4.tga,CLOCK_atyp_sim4.tga,Atypical_CLOCK.tga,Atypical_CLOCK_atyp_sim4.bmp
1,LEAF ,LEAF,30,Typical,typ,sim,3,Typical_LEAF.tga,LEAF_typ_sim3.tga,LEAF_typ_sim3.tga,Typical_LEAF.tga,Typical_LEAF_typ_sim3.bmp
