SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
15,BICYCLE ,BICYCLE,6,Atypical,typ,sim,4,Atypical_BICYCLE.tga,BICYCLE_typ_sim4.tga,Atypical_BICYCLE.tga,BICYCLE_typ_sim4.tga,Atypical_BICYCLE_typ_sim4.bmp
15,AXE ,AXE,2,Atypical,atyp,sim,2,Atypical_AXE.tga,AXE_atyp_sim2.tga,Atypical_AXE.tga,AXE_atyp_sim2.tga,Atypical_AXE_atyp_sim2.bmp
15,FAN ,FAN,20,Atypical,atyp,dis,1,Atypical_FAN.tga,FAN_atyp_dis1.tga,Atypical_FAN.tga,FAN_atyp_dis1.tga,Atypical_FAN_atyp_dis1.bmp
15,CLOCK,CLOCK,14,Typical,typ,dis,4,Typical_CLOCK.tga,CLOCK_typ_dis4.tga,Typical_CLOCK.tga,CLOCK_typ_dis4.tga,Typical_CLOCK_typ_dis4.bmp
15,BAG ,BAG,3,Atypical,typ,dis,5,Atypical_BAG.tga,BAG_typ_dis5.tga,BAG_typ_dis5.tga,Atypical_BAG.tga,Atypical_BAG_typ_dis5.bmp
15,IRON ,IRON,28,Typical,typ,sim,1,Typical_IRON.tga,IRON_typ_sim1.tga,Typical_IRON.tga,IRON_typ_sim1.tga,Typical_IRON_typ_sim1.bmp
15,SWORD ,SWORD,36,Atypical,typ,sim,4,Atypical_SWORD.tga,SWORD_typ_sim4.tga,Atypical_SWORD.tga,SWORD_typ_sim4.tga,Atypical_SWORD_typ_sim4.bmp
15,TELEPHONE ,TELEPHONE,39,Typical,atyp,dis,4,Typical_TELEPHONE.tga,TELEPHONE_atyp_dis4.tga,TELEPHONE_atyp_dis4.tga,Typical_TELEPHONE.tga,Typical_TELEPHONE_atyp_dis4.bmp
15,PIPE ,PIPE,31,Typical,atyp,sim,5,Typical_PIPE.tga,PIPE_atyp_sim5.tga,PIPE_atyp_sim5.tga,Typical_PIPE.tga,Typical_PIPE_atyp_sim5.bmp
15,TAPE DISPENSER ,TAPE,38,Typical,typ,sim,1,Typical_TAPE.tga,TAPE_typ_sim1.tga,Typical_TAPE.tga,TAPE_typ_sim1.tga,Typical_TAPE_typ_sim1.bmp
15,HELMET ,HELMET,27,Typical,typ,sim,3,Typical_HELMET.tga,HELMET_typ_sim3.tga,HELMET_typ_sim3.tga,Typical_HELMET.tga,Typical_HELMET_typ_sim3.bmp
15,CHAIR ,CHAIR,13,Atypical,typ,dis,5,Atypical_CHAIR.tga,CHAIR_typ_dis5.tga,CHAIR_typ_dis5.tga,Atypical_CHAIR.tga,Atypical_CHAIR_typ_dis5.bmp
15,BAG ,BAG,3,Typical,atyp,sim,1,Typical_BAG.tga,BAG_atyp_sim1.tga,BAG_atyp_sim1.tga,Typical_BAG.tga,Typical_BAG_atyp_sim1.bmp
15,STAPLER ,STAPLER,35,Typical,typ,dis,2,Typical_STAPLER.tga,STAPLER_typ_dis2.tga,STAPLER_typ_dis2.tga,Typical_STAPLER.tga,Typical_STAPLER_typ_dis2.bmp
15,BASKET ,BASKET,4,Typical,typ,dis,4,Typical_BASKET.tga,BASKET_typ_dis4.tga,Typical_BASKET.tga,BASKET_typ_dis4.tga,Typical_BASKET_typ_dis4.bmp
15,CLOCK ,CLOCK,14,Atypical,typ,dis,3,Atypical_CLOCK.tga,CLOCK_typ_dis3.tga,Atypical_CLOCK.tga,CLOCK_typ_dis3.tga,Atypical_CLOCK_typ_dis3.bmp
15,GLASSES ,GLASSES,22,Atypical,atyp,sim,2,Atypical_GLASSES.tga,GLASSES_atyp_sim2.tga,Atypical_GLASSES.tga,GLASSES_atyp_sim2.tga,Atypical_GLASSES_atyp_sim2.bmp
