SUBJECT-FILE,category1,filename1,item1,Tar_typ1,Dis_Typ1,Sim-Dif1,Dis_num1,Tarpic1,dispic1,leftpic1,rightpic1,compare-image1,category2,filename2,item2,Tar_typ2,Dis_Typ2,Sim-Dif2,Dis_num2,Tarpic2,dispic2,leftpic2,rightpic2,compare-image2,category3,filename3,item3,Tar_typ3,Dis_Typ3,Sim-Dif3,Dis_num3,Tarpic3,dispic3,leftpic3,rightpic3,compare-image3,category4,filename4,item4,Tar_typ4,Dis_Typ4,Sim-Dif4,Dis_num4,Tarpic4,dispic4,leftpic4,rightpic4,compare-image4
17,BENCH,BENCH,5,Typical,typ,dis,4,Typical_BENCH.tga,BENCH_typ_dis4.tga,Typical_BENCH.tga,BENCH_typ_dis4.tga,Typical_BENCH_typ_dis4.bmp,DOORKNOB ,DOORKNOB,17,Typical,typ,sim,5,Typical_DOORKNOB.tga,DOORKNOB_typ_sim5.tga,Typical_DOORKNOB.tga,DOORKNOB_typ_sim5.tga,Typical_DOORKNOB_typ_sim5.bmp,BICYCLE ,BICYCLE,6,Typical,typ,dis,2,Typical_BICYCLE.tga,BICYCLE_typ_dis2.tga,BICYCLE_typ_dis2.tga,Typical_BICYCLE.tga,Typical_BICYCLE_typ_dis2.bmp,DRILL ,DRILL,18,Atypical,typ,sim,2,Atypical_DRILL.tga,DRILL_typ_sim2.tga,DRILL_typ_sim2.tga,Atypical_DRILL.tga,Atypical_DRILL_typ_sim2.bmp
17,TAPE DISPENSER ,TAPE,38,Typical,typ,sim,3,Typical_TAPE.tga,TAPE_typ_sim3.tga,TAPE_typ_sim3.tga,Typical_TAPE.tga,Typical_TAPE_typ_sim3.bmp,SCISSORS ,SCISSORS,34,Typical,atyp,sim,1,Typical_SCISSORS.tga,SCISSORS_atyp_sim1.tga,SCISSORS_atyp_sim1.tga,Typical_SCISSORS.tga,Typical_SCISSORS_atyp_sim1.bmp,DRUM ,DRUM,19,Typical,typ,sim,1,Typical_DRUM.tga,DRUM_typ_sim1.tga,Typical_DRUM.tga,DRUM_typ_sim1.tga,Typical_DRUM_typ_sim1.bmp,BICYCLE ,BICYCLE,6,Atypical,typ,dis,1,Atypical_BICYCLE.tga,BICYCLE_typ_dis1.tga,BICYCLE_typ_dis1.tga,Atypical_BICYCLE.tga,Atypical_BICYCLE_typ_dis1.bmp
17,BASKET ,BASKET,4,Atypical,typ,dis,5,Atypical_BASKET.tga,BASKET_typ_dis5.tga,BASKET_typ_dis5.tga,Atypical_BASKET.tga,Atypical_BASKET_typ_dis5.bmp,SWORD ,SWORD,36,Typical,typ,dis,2,Typical_SWORD.tga,SWORD_typ_dis2.tga,SWORD_typ_dis2.tga,Typical_SWORD.tga,Typical_SWORD_typ_dis2.bmp,DOG ,DOG,16,Atypical,typ,dis,1,Atypical_DOG.tga,DOG_typ_dis1.tga,DOG_typ_dis1.tga,Atypical_DOG.tga,Atypical_DOG_typ_dis1.bmp,SAW ,SAW,33,Typical,atyp,sim,3,Typical_SAW.tga,SAW_atyp_sim3.tga,Typical_SAW.tga,SAW_atyp_sim3.tga,Typical_SAW_atyp_sim3.bmp
17,BAG ,BAG,3,Atypical,atyp,sim,2,Atypical_BAG.tga,BAG_atyp_sim2.tga,Atypical_BAG.tga,BAG_atyp_sim2.tga,Atypical_BAG_atyp_sim2.bmp,LAMP ,LAMP,29,Typical,typ,sim,1,Typical_LAMP.tga,LAMP_typ_sim1.tga,Typical_LAMP.tga,LAMP_typ_sim1.tga,Typical_LAMP_typ_sim1.bmp,TABLE ,TABLE,37,Atypical,typ,sim,4,Atypical_TABLE.tga,TABLE_typ_sim4.tga,Atypical_TABLE.tga,TABLE_typ_sim4.tga,Atypical_TABLE_typ_sim4.bmp,HAMMER ,HAMMER,24,Typical,atyp,sim,1,Typical_HAMMER.tga,HAMMER_atyp_sim1.tga,HAMMER_atyp_sim1.tga,Typical_HAMMER.tga,Typical_HAMMER_atyp_sim1.bmp
17,HEADPHONES ,HEADPHONES,26,Atypical,typ,dis,1,Atypical_HEADPHONES.tga,HEADPHONES_typ_dis1.tga,HEADPHONES_typ_dis1.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_typ_dis1.bmp,AXE ,AXE,2,Atypical,atyp,sim,4,Atypical_AXE.tga,AXE_atyp_sim4.tga,AXE_atyp_sim4.tga,Atypical_AXE.tga,Atypical_AXE_atyp_sim4.bmp,FLOWER ,FLOWER,21,Atypical,atyp,dis,1,Atypical_FLOWER.tga,FLOWER_atyp_dis1.tga,Atypical_FLOWER.tga,FLOWER_atyp_dis1.tga,Atypical_FLOWER_atyp_dis1.bmp,DRILL ,DRILL,18,Typical,typ,sim,3,Typical_DRILL.tga,DRILL_typ_sim3.tga,DRILL_typ_sim3.tga,Typical_DRILL.tga,Typical_DRILL_typ_sim3.bmp
17,CACTUS ,CACTUS,9,Typical,typ,sim,1,Typical_CACTUS.tga,CACTUS_typ_sim1.tga,Typical_CACTUS.tga,CACTUS_typ_sim1.tga,Typical_CACTUS_typ_sim1.bmp,DOORKNOB ,DOORKNOB,17,Atypical,typ,sim,4,Atypical_DOORKNOB.tga,DOORKNOB_typ_sim4.tga,Atypical_DOORKNOB.tga,DOORKNOB_typ_sim4.tga,Atypical_DOORKNOB_typ_sim4.bmp,PIPE ,PIPE,31,Typical,atyp,dis,2,Typical_PIPE.tga,PIPE_atyp_dis2.tga,Typical_PIPE.tga,PIPE_atyp_dis2.tga,Typical_PIPE_atyp_dis2.bmp,CUP ,CUP,15,Atypical,typ,dis,3,Atypical_CUP.tga,CUP_typ_dis3.tga,Atypical_CUP.tga,CUP_typ_dis3.tga,Atypical_CUP_typ_dis3.bmp
17,WRENCH ,WRENCH,40,Typical,atyp,dis,4,Typical_WRENCH.tga,WRENCH_atyp_dis4.tga,WRENCH_atyp_dis4.tga,Typical_WRENCH.tga,Typical_WRENCH_atyp_dis4.bmp,BASKET ,BASKET,4,Typical,atyp,sim,1,Typical_BASKET.tga,BASKET_atyp_sim1.tga,BASKET_atyp_sim1.tga,Typical_BASKET.tga,Typical_BASKET_atyp_sim1.bmp,DRUM ,DRUM,19,Atypical,atyp,dis,5,Atypical_DRUM.tga,DRUM_atyp_dis5.tga,Atypical_DRUM.tga,DRUM_atyp_dis5.tga,Atypical_DRUM_atyp_dis5.bmp,AXE ,AXE,2,Typical,atyp,sim,5,Typical_AXE.tga,AXE_atyp_sim5.tga,AXE_atyp_sim5.tga,Typical_AXE.tga,Typical_AXE_atyp_sim5.bmp
17,CAMERA ,CAMERA,11,Typical,atyp,dis,2,Typical_CAMERA.tga,CAMERA_atyp_dis2.tga,Typical_CAMERA.tga,CAMERA_atyp_dis2.tga,Typical_CAMERA_atyp_dis2.bmp,PIPE ,PIPE,31,Atypical,atyp,dis,1,Atypical_PIPE.tga,PIPE_atyp_dis1.tga,Atypical_PIPE.tga,PIPE_atyp_dis1.tga,Atypical_PIPE_atyp_dis1.bmp,BRIEFCASE ,BRIEFCASE,8,Atypical,typ,sim,2,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_sim2.tga,BRIEFCASE_typ_sim2.tga,Atypical_BRIEFCASE.tga,Atypical_BRIEFCASE_typ_sim2.bmp,CLOCK,CLOCK,14,Typical,atyp,sim,1,Typical_CLOCK.tga,CLOCK_atyp_sim1.tga,CLOCK_atyp_sim1.tga,Typical_CLOCK.tga,Typical_CLOCK_atyp_sim1.bmp
17,BOTTLE ,BOTTLE,7,Typical,typ,sim,5,Typical_BOTTLE.tga,BOTTLE_typ_sim5.tga,Typical_BOTTLE.tga,BOTTLE_typ_sim5.tga,Typical_BOTTLE_typ_sim5.bmp,FAN ,FAN,20,Atypical,atyp,dis,3,Atypical_FAN.tga,FAN_atyp_dis3.tga,FAN_atyp_dis3.tga,Atypical_FAN.tga,Atypical_FAN_atyp_dis3.bmp,HEADPHONES2,HEADPHONES,26,Typical,typ,dis,2,Typical_HEADPHONES.tga,HEADPHONES_typ_dis2.tga,HEADPHONES_typ_dis2.tga,Typical_HEADPHONES.tga,Typical_HEADPHONES_typ_dis2.bmp,GLASSES ,GLASSES,22,Atypical,atyp,sim,4,Atypical_GLASSES.tga,GLASSES_atyp_sim4.tga,GLASSES_atyp_sim4.tga,Atypical_GLASSES.tga,Atypical_GLASSES_atyp_sim4.bmp
17,TABLE,TABLE,37,Typical,typ,sim,5,Typical_TABLE.tga,TABLE_typ_sim5.tga,Typical_TABLE.tga,TABLE_typ_sim5.tga,Typical_TABLE_typ_sim5.bmp,BOTTLE ,BOTTLE,7,Atypical,typ,sim,4,Atypical_BOTTLE.tga,BOTTLE_typ_sim4.tga,Atypical_BOTTLE.tga,BOTTLE_typ_sim4.tga,Atypical_BOTTLE_typ_sim4.bmp,HAT ,HAT,25,Typical,typ,dis,4,Typical_HAT.tga,HAT_typ_dis4.tga,Typical_HAT.tga,HAT_typ_dis4.tga,Typical_HAT_typ_dis4.bmp,STAPLER ,STAPLER,35,Atypical,typ,dis,3,Atypical_STAPLER.tga,STAPLER_typ_dis3.tga,Atypical_STAPLER.tga,STAPLER_typ_dis3.tga,Atypical_STAPLER_typ_dis3.bmp
