SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
12,TAPE DISPENSER ,TAPE,38,Typical,atyp,dis,3,Typical_TAPE.tga,TAPE_atyp_dis3.tga,TAPE_atyp_dis3.tga,Typical_TAPE.tga,Typical_TAPE_atyp_dis3.bmp
12,CAKE ,CAKE,10,Typical,atyp,sim,4,Typical_CAKE.tga,CAKE_atyp_sim4.tga,CAKE_atyp_sim4.tga,Typical_CAKE.tga,Typical_CAKE_atyp_sim4.bmp
12,APPLE ,APPLE,1,Atypical,atyp,sim,1,Atypical_APPLE.tga,APPLE_atyp_sim1.tga,APPLE_atyp_sim1.tga,Atypical_APPLE.tga,Atypical_APPLE_atyp_sim1.bmp
12,GRENADE ,GRENADE,23,Atypical,typ,dis,2,Atypical_GRENADE.tga,GRENADE_typ_dis2.tga,GRENADE_typ_dis2.tga,Atypical_GRENADE.tga,Atypical_GRENADE_typ_dis2.bmp
12,DOG,DOG,16,Atypical,typ,sim,1,Atypical_DOG.tga,DOG_typ_sim1.tga,Atypical_DOG.tga,DOG_typ_sim1.tga,Atypical_DOG_typ_sim1.bmp
12,DRUM ,DRUM,19,Atypical,atyp,sim,5,Atypical_DRUM.tga,DRUM_atyp_sim5.tga,DRUM_atyp_sim5.tga,Atypical_DRUM.tga,Atypical_DRUM_atyp_sim5.bmp
12,CANDLE ,CANDLE,12,Typical,typ,dis,5,Typical_CANDLE.tga,CANDLE_typ_dis5.tga,CANDLE_typ_dis5.tga,Typical_CANDLE.tga,Typical_CANDLE_typ_dis5.bmp
12,PIPE ,PIPE,31,Typical,atyp,sim,2,Typical_PIPE.tga,PIPE_atyp_sim2.tga,Typical_PIPE.tga,PIPE_atyp_sim2.tga,Typical_PIPE_atyp_sim2.bmp
12,LAMP ,LAMP,29,Atypical,atyp,sim,5,Atypical_LAMP.tga,LAMP_atyp_sim5.tga,LAMP_atyp_sim5.tga,Atypical_LAMP.tga,Atypical_LAMP_atyp_sim5.bmp
12,STAPLER ,STAPLER,35,Typical,typ,sim,4,Typical_STAPLER.tga,STAPLER_typ_sim4.tga,Typical_STAPLER.tga,STAPLER_typ_sim4.tga,Typical_STAPLER_typ_sim4.bmp
12,TELEPHONE ,TELEPHONE,39,Atypical,atyp,sim,5,Atypical_TELEPHONE.tga,TELEPHONE_atyp_sim5.tga,TELEPHONE_atyp_sim5.tga,Atypical_TELEPHONE.tga,Atypical_TELEPHONE_atyp_sim5.bmp
12,DRILL ,DRILL,18,Atypical,atyp,dis,2,Atypical_DRILL.tga,DRILL_atyp_dis2.tga,Atypical_DRILL.tga,DRILL_atyp_dis2.tga,Atypical_DRILL_atyp_dis2.bmp
12,CANDLE ,CANDLE,12,Atypical,typ,dis,4,Atypical_CANDLE.tga,CANDLE_typ_dis4.tga,Atypical_CANDLE.tga,CANDLE_typ_dis4.tga,Atypical_CANDLE_typ_dis4.bmp
12,BICYCLE ,BICYCLE,6,Atypical,typ,sim,1,Atypical_BICYCLE.tga,BICYCLE_typ_sim1.tga,Atypical_BICYCLE.tga,BICYCLE_typ_sim1.tga,Atypical_BICYCLE_typ_sim1.bmp
12,LAMP ,LAMP,29,Typical,atyp,dis,1,Typical_LAMP.tga,LAMP_atyp_dis1.tga,Typical_LAMP.tga,LAMP_atyp_dis1.tga,Typical_LAMP_atyp_dis1.bmp
12,TABLE ,TABLE,37,Typical,atyp,dis,5,Typical_TABLE.tga,TABLE_atyp_dis5.tga,Typical_TABLE.tga,TABLE_atyp_dis5.tga,Typical_TABLE_atyp_dis5.bmp
12,BRIEFCASE,BRIEFCASE,8,Atypical,atyp,dis,2,Atypical_BRIEFCASE.tga,BRIEFCASE_atyp_dis2.tga,Atypical_BRIEFCASE.tga,BRIEFCASE_atyp_dis2.tga,Atypical_BRIEFCASE_atyp_dis2.bmp
12,HAMMER ,HAMMER,24,Typical,typ,dis,1,Typical_HAMMER.tga,HAMMER_typ_dis1.tga,HAMMER_typ_dis1.tga,Typical_HAMMER.tga,Typical_HAMMER_typ_dis1.bmp
12,HELMET ,HELMET,27,Atypical,atyp,dis,4,Atypical_HELMET.tga,HELMET_atyp_dis4.tga,HELMET_atyp_dis4.tga,Atypical_HELMET.tga,Atypical_HELMET_atyp_dis4.bmp
12,DOORKNOB ,DOORKNOB,17,Atypical,atyp,dis,4,Atypical_DOORKNOB.tga,DOORKNOB_atyp_dis4.tga,DOORKNOB_atyp_dis4.tga,Atypical_DOORKNOB.tga,Atypical_DOORKNOB_atyp_dis4.bmp
12,CACTUS ,CACTUS,9,Typical,atyp,dis,1,Typical_CACTUS.tga,CACTUS_atyp_dis1.tga,Typical_CACTUS.tga,CACTUS_atyp_dis1.tga,Typical_CACTUS_atyp_dis1.bmp
12,BAG ,BAG,3,Typical,typ,dis,3,Typical_BAG.tga,BAG_typ_dis3.tga,Typical_BAG.tga,BAG_typ_dis3.tga,Typical_BAG_typ_dis3.bmp
12,LEAF ,LEAF,30,Atypical,atyp,sim,3,Atypical_LEAF.tga,LEAF_atyp_sim3.tga,Atypical_LEAF.tga,LEAF_atyp_sim3.tga,Atypical_LEAF_atyp_sim3.bmp
12,SAW ,SAW,33,Atypical,typ,dis,2,Atypical_SAW.tga,SAW_typ_dis2.tga,SAW_typ_dis2.tga,Atypical_SAW.tga,Atypical_SAW_typ_dis2.bmp
12,LEAF ,LEAF,30,Typical,atyp,sim,4,Typical_LEAF.tga,LEAF_atyp_sim4.tga,LEAF_atyp_sim4.tga,Typical_LEAF.tga,Typical_LEAF_atyp_sim4.bmp
12,WRENCH ,WRENCH,40,Atypical,atyp,sim,3,Atypical_WRENCH.tga,WRENCH_atyp_sim3.tga,Atypical_WRENCH.tga,WRENCH_atyp_sim3.tga,Atypical_WRENCH_atyp_sim3.bmp
12,FAN ,FAN,20,Atypical,atyp,sim,3,Atypical_FAN.tga,FAN_atyp_sim3.tga,Atypical_FAN.tga,FAN_atyp_sim3.tga,Atypical_FAN_atyp_sim3.bmp
12,HAT ,HAT,25,Atypical,typ,sim,3,Atypical_HAT.tga,HAT_typ_sim3.tga,HAT_typ_sim3.tga,Atypical_HAT.tga,Atypical_HAT_typ_sim3.bmp
12,CUP ,CUP,15,Atypical,typ,sim,3,Atypical_CUP.tga,CUP_typ_sim3.tga,CUP_typ_sim3.tga,Atypical_CUP.tga,Atypical_CUP_typ_sim3.bmp
12,CUP ,CUP,15,Typical,typ,sim,4,Typical_CUP.tga,CUP_typ_sim4.tga,Typical_CUP.tga,CUP_typ_sim4.tga,Typical_CUP_typ_sim4.bmp
12,GLASSES ,GLASSES,22,Typical,typ,dis,5,Typical_GLASSES.tga,GLASSES_typ_dis5.tga,GLASSES_typ_dis5.tga,Typical_GLASSES.tga,Typical_GLASSES_typ_dis5.bmp
12,HEADPHONES2,HEADPHONES,26,Atypical,typ,sim,1,Atypical_HEADPHONES.tga,HEADPHONES_typ_sim1.tga,Atypical_HEADPHONES.tga,HEADPHONES_typ_sim1.tga,Atypical_HEADPHONES_typ_sim1.bmp
12,TABLE,TABLE,37,Atypical,atyp,dis,4,Atypical_TABLE.tga,TABLE_atyp_dis4.tga,TABLE_atyp_dis4.tga,Atypical_TABLE.tga,Atypical_TABLE_atyp_dis4.bmp
12,FLOWER ,FLOWER,21,Typical,atyp,sim,2,Typical_FLOWER.tga,FLOWER_atyp_sim2.tga,Typical_FLOWER.tga,FLOWER_atyp_sim2.tga,Typical_FLOWER_atyp_sim2.bmp
12,BASKET ,BASKET,4,Typical,typ,dis,1,Typical_BASKET.tga,BASKET_typ_dis1.tga,BASKET_typ_dis1.tga,Typical_BASKET.tga,Typical_BASKET_typ_dis1.bmp
