SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
6,DRILL ,DRILL,18,Typical,atyp,sim,2,Typical_DRILL.tga,DRILL_atyp_sim2.tga,Typical_DRILL.tga,DRILL_atyp_sim2.tga,Typical_DRILL_atyp_sim2.bmp
6,BICYCLE ,BICYCLE,6,Atypical,atyp,sim,5,Atypical_BICYCLE.tga,BICYCLE_atyp_sim5.tga,BICYCLE_atyp_sim5.tga,Atypical_BICYCLE.tga,Atypical_BICYCLE_atyp_sim5.bmp
6,CANDLE ,CANDLE,12,Atypical,typ,sim,3,Atypical_CANDLE.tga,CANDLE_typ_sim3.tga,CANDLE_typ_sim3.tga,Atypical_CANDLE.tga,Atypical_CANDLE_typ_sim3.bmp
6,PISTOL ,PISTOL,32,Atypical,typ,sim,3,Atypical_PISTOL.tga,PISTOL_typ_sim3.tga,PISTOL_typ_sim3.tga,Atypical_PISTOL.tga,Atypical_PISTOL_typ_sim3.bmp
6,GLASSES ,GLASSES,22,Typical,typ,sim,4,Typical_GLASSES.tga,GLASSES_typ_sim4.tga,Typical_GLASSES.tga,GLASSES_typ_sim4.tga,Typical_GLASSES_typ_sim4.bmp
6,BASKET ,BASKET,4,Typical,atyp,dis,5,Typical_BASKET.tga,BASKET_atyp_dis5.tga,Typical_BASKET.tga,BASKET_atyp_dis5.tga,Typical_BASKET_atyp_dis5.bmp
6,HAT ,HAT,25,Typical,atyp,dis,3,Typical_HAT.tga,HAT_atyp_dis3.tga,HAT_atyp_dis3.tga,Typical_HAT.tga,Typical_HAT_atyp_dis3.bmp
6,BOTTLE ,BOTTLE,7,Atypical,atyp,sim,3,Atypical_BOTTLE.tga,BOTTLE_atyp_sim3.tga,Atypical_BOTTLE.tga,BOTTLE_atyp_sim3.tga,Atypical_BOTTLE_atyp_sim3.bmp
6,BRIEFCASE,BRIEFCASE,8,Atypical,atyp,sim,1,Atypical_BRIEFCASE.tga,BRIEFCASE_atyp_sim1.tga,BRIEFCASE_atyp_sim1.tga,Atypical_BRIEFCASE.tga,Atypical_BRIEFCASE_atyp_sim1.bmp
6,CUP ,CUP,15,Atypical,atyp,dis,2,Atypical_CUP.tga,CUP_atyp_dis2.tga,Atypical_CUP.tga,CUP_atyp_dis2.tga,Atypical_CUP_atyp_dis2.bmp
6,CHAIR ,CHAIR,13,Typical,typ,sim,2,Typical_CHAIR.tga,CHAIR_typ_sim2.tga,CHAIR_typ_sim2.tga,Typical_CHAIR.tga,Typical_CHAIR_typ_sim2.bmp
6,TABLE,TABLE,37,Atypical,atyp,sim,3,Atypical_TABLE.tga,TABLE_atyp_sim3.tga,Atypical_TABLE.tga,TABLE_atyp_sim3.tga,Atypical_TABLE_atyp_sim3.bmp
6,PIPE ,PIPE,31,Atypical,typ,sim,5,Atypical_PIPE.tga,PIPE_typ_sim5.tga,Atypical_PIPE.tga,PIPE_typ_sim5.tga,Atypical_PIPE_typ_sim5.bmp
6,HAT ,HAT,25,Atypical,atyp,dis,2,Atypical_HAT.tga,HAT_atyp_dis2.tga,Atypical_HAT.tga,HAT_atyp_dis2.tga,Atypical_HAT_atyp_dis2.bmp
6,SCISSORS ,SCISSORS,34,Typical,atyp,dis,5,Typical_SCISSORS.tga,SCISSORS_atyp_dis5.tga,Typical_SCISSORS.tga,SCISSORS_atyp_dis5.tga,Typical_SCISSORS_atyp_dis5.bmp
6,GRENADE ,GRENADE,23,Typical,typ,sim,2,Typical_GRENADE.tga,GRENADE_typ_sim2.tga,GRENADE_typ_sim2.tga,Typical_GRENADE.tga,Typical_GRENADE_typ_sim2.bmp
6,HEADPHONES2,HEADPHONES,26,Atypical,atyp,sim,5,Atypical_HEADPHONES.tga,HEADPHONES_atyp_sim5.tga,HEADPHONES_atyp_sim5.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_atyp_sim5.bmp
6,CHAIR ,CHAIR,13,Atypical,typ,sim,1,Atypical_CHAIR.tga,CHAIR_typ_sim1.tga,Atypical_CHAIR.tga,CHAIR_typ_sim1.tga,Atypical_CHAIR_typ_sim1.bmp
6,SCISSORS ,SCISSORS,34,Atypical,atyp,dis,4,Atypical_SCISSORS.tga,SCISSORS_atyp_dis4.tga,SCISSORS_atyp_dis4.tga,Atypical_SCISSORS.tga,Atypical_SCISSORS_atyp_dis4.bmp
6,LEAF ,LEAF,30,Typical,typ,dis,3,Typical_LEAF.tga,LEAF_typ_dis3.tga,Typical_LEAF.tga,LEAF_typ_dis3.tga,Typical_LEAF_typ_dis3.bmp
6,APPLE ,APPLE,1,Atypical,typ,sim,5,Atypical_APPLE.tga,APPLE_typ_sim5.tga,Atypical_APPLE.tga,APPLE_typ_sim5.tga,Atypical_APPLE_typ_sim5.bmp
6,BOTTLE ,BOTTLE,7,Typical,atyp,sim,4,Typical_BOTTLE.tga,BOTTLE_atyp_sim4.tga,BOTTLE_atyp_sim4.tga,Typical_BOTTLE.tga,Typical_BOTTLE_atyp_sim4.bmp
6,CLOCK,CLOCK,14,Atypical,atyp,dis,4,Atypical_CLOCK.tga,CLOCK_atyp_dis4.tga,CLOCK_atyp_dis4.tga,Atypical_CLOCK.tga,Atypical_CLOCK_atyp_dis4.bmp
6,BAG ,BAG,3,Typical,typ,sim,2,Typical_BAG.tga,BAG_typ_sim2.tga,BAG_typ_sim2.tga,Typical_BAG.tga,Typical_BAG_typ_sim2.bmp
6,AXE ,AXE,2,Typical,typ,sim,4,Typical_AXE.tga,AXE_typ_sim4.tga,Typical_AXE.tga,AXE_typ_sim4.tga,Typical_AXE_typ_sim4.bmp
6,STAPLER ,STAPLER,35,Typical,atyp,dis,3,Typical_STAPLER.tga,STAPLER_atyp_dis3.tga,STAPLER_atyp_dis3.tga,Typical_STAPLER.tga,Typical_STAPLER_atyp_dis3.bmp
6,DOG,DOG,16,Atypical,atyp,sim,5,Atypical_DOG.tga,DOG_atyp_sim5.tga,DOG_atyp_sim5.tga,Atypical_DOG.tga,Atypical_DOG_atyp_sim5.bmp
6,CAKE ,CAKE,10,Typical,typ,dis,3,Typical_CAKE.tga,CAKE_typ_dis3.tga,Typical_CAKE.tga,CAKE_typ_dis3.tga,Typical_CAKE_typ_dis3.bmp
6,SWORD ,SWORD,36,Typical,atyp,dis,1,Typical_SWORD.tga,SWORD_atyp_dis1.tga,Typical_SWORD.tga,SWORD_atyp_dis1.tga,Typical_SWORD_atyp_dis1.bmp
6,SWORD ,SWORD,36,Atypical,atyp,sim,5,Atypical_SWORD.tga,SWORD_atyp_sim5.tga,SWORD_atyp_sim5.tga,Atypical_SWORD.tga,Atypical_SWORD_atyp_sim5.bmp
6,FAN ,FAN,20,Atypical,typ,dis,2,Atypical_FAN.tga,FAN_typ_dis2.tga,FAN_typ_dis2.tga,Atypical_FAN.tga,Atypical_FAN_typ_dis2.bmp
6,FAN ,FAN,20,Typical,typ,dis,3,Typical_FAN.tga,FAN_typ_dis3.tga,Typical_FAN.tga,FAN_typ_dis3.tga,Typical_FAN_typ_dis3.bmp
6,SAW ,SAW,33,Atypical,typ,sim,1,Atypical_SAW.tga,SAW_typ_sim1.tga,Atypical_SAW.tga,SAW_typ_sim1.tga,Atypical_SAW_typ_sim1.bmp
