SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
16,TELEPHONE ,TELEPHONE,39,Atypical,atyp,dis,4,Atypical_TELEPHONE.tga,TELEPHONE_atyp_dis4.tga,TELEPHONE_atyp_dis4.tga,Atypical_TELEPHONE.tga,Atypical_TELEPHONE_atyp_dis4.bmp
16,TELEPHONE ,TELEPHONE,39,Typical,atyp,dis,5,Typical_TELEPHONE.tga,TELEPHONE_atyp_dis5.tga,Typical_TELEPHONE.tga,TELEPHONE_atyp_dis5.tga,Typical_TELEPHONE_atyp_dis5.bmp
16,IRON ,IRON,28,Atypical,typ,sim,1,Atypical_IRON.tga,IRON_typ_sim1.tga,Atypical_IRON.tga,IRON_typ_sim1.tga,Atypical_IRON_typ_sim1.bmp
16,BICYCLE ,BICYCLE,6,Atypical,typ,sim,5,Atypical_BICYCLE.tga,BICYCLE_typ_sim5.tga,Atypical_BICYCLE.tga,BICYCLE_typ_sim5.tga,Atypical_BICYCLE_typ_sim5.bmp
16,BASKET ,BASKET,4,Typical,typ,dis,5,Typical_BASKET.tga,BASKET_typ_dis5.tga,BASKET_typ_dis5.tga,Typical_BASKET.tga,Typical_BASKET_typ_dis5.bmp
16,DOG,DOG,16,Atypical,typ,sim,5,Atypical_DOG.tga,DOG_typ_sim5.tga,Atypical_DOG.tga,DOG_typ_sim5.tga,Atypical_DOG_typ_sim5.bmp
16,WRENCH ,WRENCH,40,Typical,atyp,dis,3,Typical_WRENCH.tga,WRENCH_atyp_dis3.tga,WRENCH_atyp_dis3.tga,Typical_WRENCH.tga,Typical_WRENCH_atyp_dis3.bmp
16,CLOCK,CLOCK,14,Atypical,typ,dis,4,Atypical_CLOCK.tga,CLOCK_typ_dis4.tga,Atypical_CLOCK.tga,CLOCK_typ_dis4.tga,Atypical_CLOCK_typ_dis4.bmp
16,DOORKNOB ,DOORKNOB,17,Atypical,typ,sim,3,Atypical_DOORKNOB.tga,DOORKNOB_typ_sim3.tga,DOORKNOB_typ_sim3.tga,Atypical_DOORKNOB.tga,Atypical_DOORKNOB_typ_sim3.bmp
16,TAPE DISPENSER ,TAPE,38,Atypical,typ,sim,1,Atypical_TAPE.tga,TAPE_typ_sim1.tga,Atypical_TAPE.tga,TAPE_typ_sim1.tga,Atypical_TAPE_typ_sim1.bmp
16,CUP ,CUP,15,Atypical,typ,dis,2,Atypical_CUP.tga,CUP_typ_dis2.tga,CUP_typ_dis2.tga,Atypical_CUP.tga,Atypical_CUP_typ_dis2.bmp
16,LAMP ,LAMP,29,Atypical,atyp,dis,4,Atypical_LAMP.tga,LAMP_atyp_dis4.tga,LAMP_atyp_dis4.tga,Atypical_LAMP.tga,Atypical_LAMP_atyp_dis4.bmp
16,GRENADE ,GRENADE,23,Typical,atyp,sim,2,Typical_GRENADE.tga,GRENADE_atyp_sim2.tga,Typical_GRENADE.tga,GRENADE_atyp_sim2.tga,Typical_GRENADE_atyp_sim2.bmp
16,GLASSES ,GLASSES,22,Typical,atyp,sim,4,Typical_GLASSES.tga,GLASSES_atyp_sim4.tga,GLASSES_atyp_sim4.tga,Typical_GLASSES.tga,Typical_GLASSES_atyp_sim4.bmp
16,BOTTLE ,BOTTLE,7,Typical,typ,sim,4,Typical_BOTTLE.tga,BOTTLE_typ_sim4.tga,Typical_BOTTLE.tga,BOTTLE_typ_sim4.tga,Typical_BOTTLE_typ_sim4.bmp
16,PISTOL ,PISTOL,32,Atypical,atyp,sim,3,Atypical_PISTOL.tga,PISTOL_atyp_sim3.tga,Atypical_PISTOL.tga,PISTOL_atyp_sim3.tga,Atypical_PISTOL_atyp_sim3.bmp
16,BRIEFCASE,BRIEFCASE,8,Atypical,typ,sim,1,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_sim1.tga,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_sim1.tga,Atypical_BRIEFCASE_typ_sim1.bmp
16,DRUM ,DRUM,19,Atypical,atyp,dis,4,Atypical_DRUM.tga,DRUM_atyp_dis4.tga,DRUM_atyp_dis4.tga,Atypical_DRUM.tga,Atypical_DRUM_atyp_dis4.bmp
16,SWORD ,SWORD,36,Typical,typ,dis,1,Typical_SWORD.tga,SWORD_typ_dis1.tga,SWORD_typ_dis1.tga,Typical_SWORD.tga,Typical_SWORD_typ_dis1.bmp
16,BRIEFCASE ,BRIEFCASE,8,Typical,typ,sim,2,Typical_BRIEFCASE.tga,BRIEFCASE_typ_sim2.tga,BRIEFCASE_typ_sim2.tga,Typical_BRIEFCASE.tga,Typical_BRIEFCASE_typ_sim2.bmp
16,DRUM ,DRUM,19,Typical,atyp,dis,5,Typical_DRUM.tga,DRUM_atyp_dis5.tga,Typical_DRUM.tga,DRUM_atyp_dis5.tga,Typical_DRUM_atyp_dis5.bmp
16,HAMMER ,HAMMER,24,Atypical,typ,dis,4,Atypical_HAMMER.tga,HAMMER_typ_dis4.tga,Atypical_HAMMER.tga,HAMMER_typ_dis4.tga,Atypical_HAMMER_typ_dis4.bmp
16,TABLE,TABLE,37,Atypical,typ,sim,3,Atypical_TABLE.tga,TABLE_typ_sim3.tga,TABLE_typ_sim3.tga,Atypical_TABLE.tga,Atypical_TABLE_typ_sim3.bmp
16,APPLE ,APPLE,1,Atypical,atyp,sim,5,Atypical_APPLE.tga,APPLE_atyp_sim5.tga,APPLE_atyp_sim5.tga,Atypical_APPLE.tga,Atypical_APPLE_atyp_sim5.bmp
16,CAMERA ,CAMERA,11,Typical,atyp,dis,1,Typical_CAMERA.tga,CAMERA_atyp_dis1.tga,Typical_CAMERA.tga,CAMERA_atyp_dis1.tga,Typical_CAMERA_atyp_dis1.bmp
16,CAKE,CAKE,10,Atypical,atyp,dis,2,Atypical_CAKE.tga,CAKE_atyp_dis2.tga,Atypical_CAKE.tga,CAKE_atyp_dis2.tga,Atypical_CAKE_atyp_dis2.bmp
16,STAPLER ,STAPLER,35,Atypical,typ,dis,2,Atypical_STAPLER.tga,STAPLER_typ_dis2.tga,STAPLER_typ_dis2.tga,Atypical_STAPLER.tga,Atypical_STAPLER_typ_dis2.bmp
16,AXE ,AXE,2,Typical,atyp,sim,4,Typical_AXE.tga,AXE_atyp_sim4.tga,AXE_atyp_sim4.tga,Typical_AXE.tga,Typical_AXE_atyp_sim4.bmp
16,BOTTLE ,BOTTLE,7,Atypical,typ,sim,3,Atypical_BOTTLE.tga,BOTTLE_typ_sim3.tga,BOTTLE_typ_sim3.tga,Atypical_BOTTLE.tga,Atypical_BOTTLE_typ_sim3.bmp
16,HELMET ,HELMET,27,Typical,typ,sim,4,Typical_HELMET.tga,HELMET_typ_sim4.tga,Typical_HELMET.tga,HELMET_typ_sim4.tga,Typical_HELMET_typ_sim4.bmp
16,LAMP ,LAMP,29,Typical,atyp,dis,5,Typical_LAMP.tga,LAMP_atyp_dis5.tga,Typical_LAMP.tga,LAMP_atyp_dis5.tga,Typical_LAMP_atyp_dis5.bmp
16,CANDLE ,CANDLE,12,Typical,atyp,sim,4,Typical_CANDLE.tga,CANDLE_atyp_sim4.tga,CANDLE_atyp_sim4.tga,Typical_CANDLE.tga,Typical_CANDLE_atyp_sim4.bmp
16,GRENADE ,GRENADE,23,Atypical,atyp,sim,1,Atypical_GRENADE.tga,GRENADE_atyp_sim1.tga,GRENADE_atyp_sim1.tga,Atypical_GRENADE.tga,Atypical_GRENADE_atyp_sim1.bmp
16,BICYCLE ,BICYCLE,6,Typical,typ,dis,1,Typical_BICYCLE.tga,BICYCLE_typ_dis1.tga,BICYCLE_typ_dis1.tga,Typical_BICYCLE.tga,Typical_BICYCLE_typ_dis1.bmp
16,HAT ,HAT,25,Typical,typ,dis,3,Typical_HAT.tga,HAT_typ_dis3.tga,Typical_HAT.tga,HAT_typ_dis3.tga,Typical_HAT_typ_dis3.bmp
16,FLOWER ,FLOWER,21,Typical,atyp,dis,1,Typical_FLOWER.tga,FLOWER_atyp_dis1.tga,Typical_FLOWER.tga,FLOWER_atyp_dis1.tga,Typical_FLOWER_atyp_dis1.bmp
16,CACTUS ,CACTUS,9,Typical,atyp,dis,5,Typical_CACTUS.tga,CACTUS_atyp_dis5.tga,Typical_CACTUS.tga,CACTUS_atyp_dis5.tga,Typical_CACTUS_atyp_dis5.bmp
16,BENCH,BENCH,5,Atypical,typ,dis,2,Atypical_BENCH.tga,BENCH_typ_dis2.tga,BENCH_typ_dis2.tga,Atypical_BENCH.tga,Atypical_BENCH_typ_dis2.bmp
16,CACTUS ,CACTUS,9,Atypical,atyp,dis,4,Atypical_CACTUS.tga,CACTUS_atyp_dis4.tga,CACTUS_atyp_dis4.tga,Atypical_CACTUS.tga,Atypical_CACTUS_atyp_dis4.bmp
16,AXE ,AXE,2,Atypical,atyp,sim,3,Atypical_AXE.tga,AXE_atyp_sim3.tga,Atypical_AXE.tga,AXE_atyp_sim3.tga,Atypical_AXE_atyp_sim3.bmp
16,FAN ,FAN,20,Atypical,atyp,dis,2,Atypical_FAN.tga,FAN_atyp_dis2.tga,Atypical_FAN.tga,FAN_atyp_dis2.tga,Atypical_FAN_atyp_dis2.bmp
16,HELMET ,HELMET,27,Atypical,typ,sim,3,Atypical_HELMET.tga,HELMET_typ_sim3.tga,HELMET_typ_sim3.tga,Atypical_HELMET.tga,Atypical_HELMET_typ_sim3.bmp
