SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
7,AXE ,AXE,2,Typical,typ,sim,5,Typical_AXE.tga,AXE_typ_sim5.tga,Typical_AXE.tga,AXE_typ_sim5.tga,Typical_AXE_typ_sim5.bmp
7,APPLE ,APPLE,1,Atypical,typ,dis,1,Atypical_APPLE.tga,APPLE_typ_dis1.tga,APPLE_typ_dis1.tga,Atypical_APPLE.tga,Atypical_APPLE_typ_dis1.bmp
7,LAMP ,LAMP,29,Atypical,typ,dis,5,Atypical_LAMP.tga,LAMP_typ_dis5.tga,LAMP_typ_dis5.tga,Atypical_LAMP.tga,Atypical_LAMP_typ_dis5.bmp
7,DOG,DOG,16,Typical,atyp,dis,2,Typical_DOG.tga,DOG_atyp_dis2.tga,Typical_DOG.tga,DOG_atyp_dis2.tga,Typical_DOG_atyp_dis2.bmp
7,TABLE ,TABLE,37,Atypical,atyp,sim,4,Atypical_TABLE.tga,TABLE_atyp_sim4.tga,TABLE_atyp_sim4.tga,Atypical_TABLE.tga,Atypical_TABLE_atyp_sim4.bmp
7,GLASSES ,GLASSES,22,Atypical,typ,sim,4,Atypical_GLASSES.tga,GLASSES_typ_sim4.tga,Atypical_GLASSES.tga,GLASSES_typ_sim4.tga,Atypical_GLASSES_typ_sim4.bmp
7,BAG ,BAG,3,Atypical,typ,sim,2,Atypical_BAG.tga,BAG_typ_sim2.tga,BAG_typ_sim2.tga,Atypical_BAG.tga,Atypical_BAG_typ_sim2.bmp
7,IRON ,IRON,28,Typical,atyp,sim,3,Typical_IRON.tga,IRON_atyp_sim3.tga,Typical_IRON.tga,IRON_atyp_sim3.tga,Typical_IRON_atyp_sim3.bmp
7,WRENCH ,WRENCH,40,Typical,typ,dis,4,Typical_WRENCH.tga,WRENCH_typ_dis4.tga,Typical_WRENCH.tga,WRENCH_typ_dis4.tga,Typical_WRENCH_typ_dis4.bmp
7,STAPLER ,STAPLER,35,Atypical,atyp,dis,3,Atypical_STAPLER.tga,STAPLER_atyp_dis3.tga,STAPLER_atyp_dis3.tga,Atypical_STAPLER.tga,Atypical_STAPLER_atyp_dis3.bmp
7,AXE ,AXE,2,Atypical,typ,sim,4,Atypical_AXE.tga,AXE_typ_sim4.tga,Atypical_AXE.tga,AXE_typ_sim4.tga,Atypical_AXE_typ_sim4.bmp
7,PISTOL ,PISTOL,32,Typical,typ,sim,5,Typical_PISTOL.tga,PISTOL_typ_sim5.tga,Typical_PISTOL.tga,PISTOL_typ_sim5.tga,Typical_PISTOL_typ_sim5.bmp
7,HEADPHONES ,HEADPHONES,26,Atypical,atyp,dis,1,Atypical_HEADPHONES.tga,HEADPHONES_atyp_dis1.tga,Atypical_HEADPHONES.tga,HEADPHONES_atyp_dis1.tga,Atypical_HEADPHONES_atyp_dis1.bmp
7,TELEPHONE ,TELEPHONE,39,Atypical,typ,dis,5,Atypical_TELEPHONE.tga,TELEPHONE_typ_dis5.tga,TELEPHONE_typ_dis5.tga,Atypical_TELEPHONE.tga,Atypical_TELEPHONE_typ_dis5.bmp
