SUBJECT-FILE,category1,filename1,item1,Tar_typ1,Dis_Typ1,Sim-Dif1,Dis_num1,Tarpic1,dispic1,leftpic1,rightpic1,compare-image1,category2,filename2,item2,Tar_typ2,Dis_Typ2,Sim-Dif2,Dis_num2,Tarpic2,dispic2,leftpic2,rightpic2,compare-image2,category3,filename3,item3,Tar_typ3,Dis_Typ3,Sim-Dif3,Dis_num3,Tarpic3,dispic3,leftpic3,rightpic3,compare-image3,category4,filename4,item4,Tar_typ4,Dis_Typ4,Sim-Dif4,Dis_num4,Tarpic4,dispic4,leftpic4,rightpic4,compare-image4
9,PISTOL ,PISTOL,32,Atypical,typ,dis,1,Atypical_PISTOL.tga,PISTOL_typ_dis1.tga,PISTOL_typ_dis1.tga,Atypical_PISTOL.tga,Atypical_PISTOL_typ_dis1.bmp,BRIEFCASE ,BRIEFCASE,8,Atypical,atyp,sim,4,Atypical_BRIEFCASE.tga,BRIEFCASE_atyp_sim4.tga,BRIEFCASE_atyp_sim4.tga,Atypical_BRIEFCASE.tga,Atypical_BRIEFCASE_atyp_sim4.bmp,CAMERA ,CAMERA,11,Atypical,typ,dis,3,Atypical_CAMERA.tga,CAMERA_typ_dis3.tga,Atypical_CAMERA.tga,CAMERA_typ_dis3.tga,Atypical_CAMERA_typ_dis3.bmp,DRILL ,DRILL,18,Atypical,atyp,sim,4,Atypical_DRILL.tga,DRILL_atyp_sim4.tga,DRILL_atyp_sim4.tga,Atypical_DRILL.tga,Atypical_DRILL_atyp_sim4.bmp
9,GLASSES ,GLASSES,22,Typical,typ,dis,2,Typical_GLASSES.tga,GLASSES_typ_dis2.tga,GLASSES_typ_dis2.tga,Typical_GLASSES.tga,Typical_GLASSES_typ_dis2.bmp,HELMET ,HELMET,27,Atypical,atyp,dis,1,Atypical_HELMET.tga,HELMET_atyp_dis1.tga,Atypical_HELMET.tga,HELMET_atyp_dis1.tga,Atypical_HELMET_atyp_dis1.bmp,AXE ,AXE,2,Atypical,typ,dis,1,Atypical_AXE.tga,AXE_typ_dis1.tga,AXE_typ_dis1.tga,Atypical_AXE.tga,Atypical_AXE_typ_dis1.bmp,DOORKNOB ,DOORKNOB,17,Typical,atyp,dis,2,Typical_DOORKNOB.tga,DOORKNOB_atyp_dis2.tga,Typical_DOORKNOB.tga,DOORKNOB_atyp_dis2.tga,Typical_DOORKNOB_atyp_dis2.bmp
9,HAT ,HAT,25,Atypical,atyp,dis,5,Atypical_HAT.tga,HAT_atyp_dis5.tga,Atypical_HAT.tga,HAT_atyp_dis5.tga,Atypical_HAT_atyp_dis5.bmp,FLOWER ,FLOWER,21,Atypical,typ,dis,3,Atypical_FLOWER.tga,FLOWER_typ_dis3.tga,Atypical_FLOWER.tga,FLOWER_typ_dis3.tga,Atypical_FLOWER_typ_dis3.bmp,SCISSORS ,SCISSORS,34,Typical,typ,sim,3,Typical_SCISSORS.tga,SCISSORS_typ_sim3.tga,SCISSORS_typ_sim3.tga,Typical_SCISSORS.tga,Typical_SCISSORS_typ_sim3.bmp,DRUM ,DRUM,19,Atypical,atyp,sim,2,Atypical_DRUM.tga,DRUM_atyp_sim2.tga,Atypical_DRUM.tga,DRUM_atyp_sim2.tga,Atypical_DRUM_atyp_sim2.bmp
9,CUP ,CUP,15,Atypical,atyp,dis,5,Atypical_CUP.tga,CUP_atyp_dis5.tga,Atypical_CUP.tga,CUP_atyp_dis5.tga,Atypical_CUP_atyp_dis5.bmp,CLOCK ,CLOCK,14,Atypical,typ,sim,2,Atypical_CLOCK.tga,CLOCK_typ_sim2.tga,CLOCK_typ_sim2.tga,Atypical_CLOCK.tga,Atypical_CLOCK_typ_sim2.bmp,HEADPHONES ,HEADPHONES,26,Atypical,atyp,dis,3,Atypical_HEADPHONES.tga,HEADPHONES_atyp_dis3.tga,HEADPHONES_atyp_dis3.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_atyp_dis3.bmp,HAMMER ,HAMMER,24,Typical,typ,sim,3,Typical_HAMMER.tga,HAMMER_typ_sim3.tga,HAMMER_typ_sim3.tga,Typical_HAMMER.tga,Typical_HAMMER_typ_sim3.bmp
9,CANDLE ,CANDLE,12,Typical,typ,dis,2,Typical_CANDLE.tga,CANDLE_typ_dis2.tga,CANDLE_typ_dis2.tga,Typical_CANDLE.tga,Typical_CANDLE_typ_dis2.bmp,CAMERA ,CAMERA,11,Typical,typ,dis,4,Typical_CAMERA.tga,CAMERA_typ_dis4.tga,Typical_CAMERA.tga,CAMERA_typ_dis4.tga,Typical_CAMERA_typ_dis4.bmp,TABLE ,TABLE,37,Atypical,atyp,dis,1,Atypical_TABLE.tga,TABLE_atyp_dis1.tga,Atypical_TABLE.tga,TABLE_atyp_dis1.tga,Atypical_TABLE_atyp_dis1.bmp,GRENADE ,GRENADE,23,Atypical,typ,sim,4,Atypical_GRENADE.tga,GRENADE_typ_sim4.tga,Atypical_GRENADE.tga,GRENADE_typ_sim4.tga,Atypical_GRENADE_typ_sim4.bmp
9,STAPLER ,STAPLER,35,Atypical,atyp,dis,5,Atypical_STAPLER.tga,STAPLER_atyp_dis5.tga,Atypical_STAPLER.tga,STAPLER_atyp_dis5.tga,Atypical_STAPLER_atyp_dis5.bmp,APPLE ,APPLE,1,Typical,typ,dis,4,Typical_APPLE.tga,APPLE_typ_dis4.tga,Typical_APPLE.tga,APPLE_typ_dis4.tga,Typical_APPLE_typ_dis4.bmp,WRENCH ,WRENCH,40,Atypical,typ,dis,5,Atypical_WRENCH.tga,WRENCH_typ_dis5.tga,WRENCH_typ_dis5.tga,Atypical_WRENCH.tga,Atypical_WRENCH_typ_dis5.bmp,GLASSES ,GLASSES,22,Atypical,typ,dis,1,Atypical_GLASSES.tga,GLASSES_typ_dis1.tga,GLASSES_typ_dis1.tga,Atypical_GLASSES.tga,Atypical_GLASSES_typ_dis1.bmp
9,DOG ,DOG,16,Atypical,atyp,dis,3,Atypical_DOG.tga,DOG_atyp_dis3.tga,DOG_atyp_dis3.tga,Atypical_DOG.tga,Atypical_DOG_atyp_dis3.bmp,AXE ,AXE,2,Typical,typ,dis,2,Typical_AXE.tga,AXE_typ_dis2.tga,AXE_typ_dis2.tga,Typical_AXE.tga,Typical_AXE_typ_dis2.bmp,HAT ,HAT,25,Typical,typ,sim,1,Typical_HAT.tga,HAT_typ_sim1.tga,Typical_HAT.tga,HAT_typ_sim1.tga,Typical_HAT_typ_sim1.bmp,LAMP ,LAMP,29,Typical,atyp,sim,3,Typical_LAMP.tga,LAMP_atyp_sim3.tga,Typical_LAMP.tga,LAMP_atyp_sim3.tga,Typical_LAMP_atyp_sim3.bmp
9,PIPE ,PIPE,31,Atypical,typ,dis,3,Atypical_PIPE.tga,PIPE_typ_dis3.tga,Atypical_PIPE.tga,PIPE_typ_dis3.tga,Atypical_PIPE_typ_dis3.bmp,IRON ,IRON,28,Typical,atyp,sim,5,Typical_IRON.tga,IRON_atyp_sim5.tga,IRON_atyp_sim5.tga,Typical_IRON.tga,Typical_IRON_atyp_sim5.bmp,TELEPHONE ,TELEPHONE,39,Typical,atyp,sim,3,Typical_TELEPHONE.tga,TELEPHONE_atyp_sim3.tga,Typical_TELEPHONE.tga,TELEPHONE_atyp_sim3.tga,Typical_TELEPHONE_atyp_sim3.bmp,BAG ,BAG,3,Atypical,typ,sim,4,Atypical_BAG.tga,BAG_typ_sim4.tga,Atypical_BAG.tga,BAG_typ_sim4.tga,Atypical_BAG_typ_sim4.bmp
9,LEAF ,LEAF,30,Atypical,typ,dis,5,Atypical_LEAF.tga,LEAF_typ_dis5.tga,LEAF_typ_dis5.tga,Atypical_LEAF.tga,Atypical_LEAF_typ_dis5.bmp,LAMP ,LAMP,29,Atypical,atyp,sim,2,Atypical_LAMP.tga,LAMP_atyp_sim2.tga,Atypical_LAMP.tga,LAMP_atyp_sim2.tga,Atypical_LAMP_atyp_sim2.bmp,IRON ,IRON,28,Atypical,atyp,sim,4,Atypical_IRON.tga,IRON_atyp_sim4.tga,IRON_atyp_sim4.tga,Atypical_IRON.tga,Atypical_IRON_atyp_sim4.bmp,CUP ,CUP,15,Typical,typ,sim,1,Typical_CUP.tga,CUP_typ_sim1.tga,Typical_CUP.tga,CUP_typ_sim1.tga,Typical_CUP_typ_sim1.bmp
9,DRUM ,DRUM,19,Typical,atyp,sim,3,Typical_DRUM.tga,DRUM_atyp_sim3.tga,Typical_DRUM.tga,DRUM_atyp_sim3.tga,Typical_DRUM_atyp_sim3.bmp,BRIEFCASE,BRIEFCASE,8,Typical,atyp,sim,5,Typical_BRIEFCASE.tga,BRIEFCASE_atyp_sim5.tga,BRIEFCASE_atyp_sim5.tga,Typical_BRIEFCASE.tga,Typical_BRIEFCASE_atyp_sim5.bmp,WRENCH ,WRENCH,40,Typical,atyp,sim,1,Typical_WRENCH.tga,WRENCH_atyp_sim1.tga,WRENCH_atyp_sim1.tga,Typical_WRENCH.tga,Typical_WRENCH_atyp_sim1.bmp,SAW ,SAW,33,Typical,typ,sim,5,Typical_SAW.tga,SAW_typ_sim5.tga,Typical_SAW.tga,SAW_typ_sim5.tga,Typical_SAW_typ_sim5.bmp
